artist,asin,media,review_count,star_rating,title,year,genre
Rush,B000001ESJ,"Audio CD,MP3 Music,Vinyl,Blu-ray Audio,Audio, Cassette",2330,4.8,A Farewell to Kings,1997,progressive metal
Rage Against The Machine,B00015TTE2,"Audio CD,MP3 Music,Vinyl,Audio, Cassette,MiniDisc",2178,4.8,Evil Empire,2011,progressive metal
AC/DC,B000024X9K,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2192,4.8,"For Those About to Rock, We Salute You",1998,progressive metal
BABYMETAL,B01MRDHJ3P,"Vinyl,MP3 Music,Audio CD",2153,4.8,Metal Resistance,2017,progressive metal
Iron Maiden,B000006JPJ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1936,4.8,Seventh Son Of A Seventh Son,1995,progressive metal
Megadeth,B000TVJEC0,"Vinyl,MP3 Music,Audio CD,Audio DVD,Audio, Cassette",1887,4.8,Peace Sells...But Who's Buying,2008,progressive metal
Rammstein,B0000057C5,"Audio CD,Audio CD",1925,4.8,Sehnsucht,1998,progressive metal
Rammstein,B000BK8FH4,"Audio CD,MP3 Music,Vinyl",1916,4.8,Rosenrot,2005,progressive metal
A Perfect Circle,B008HJZIZS,"MP3 Music,Audio CD",1887,4.8,Mer De Noms,2000,progressive metal
Rush,B000001ESL,"Audio CD,Vinyl,Audio, Cassette",1773,4.8,Hemispheres Remastered,1997,progressive metal
IRON MAIDEN,B08KGM48CJ,"Vinyl,Audio CD",1753,4.8,"Nights Of The Dead - Legacy Of The Beast, Live In Mexico City",2020,progressive metal
Rush,B0000794FS,"Audio CD,MP3 Music",1721,4.8,The Spirit Of Radio: Greatest Hits 1974-1987,2003,progressive metal
Korn,B00015U11M,"Audio CD,MP3 Music,Vinyl",1716,4.8,Untouchables,2015,progressive metal
Iron Maiden,B08PXB95YW,"Vinyl,Audio CD",1620,4.8,"Nights of the Dead,Legacy of the Beast:Live",2020,progressive metal
Incubus,B00005QZ9Z,"Audio CD,MP3 Music,Vinyl",1654,4.8,Morning View,2002,progressive metal
Mastodon,B001RP22G2,"Vinyl,Audio CD",1592,4.8,Crack the Skye,2009,progressive metal
Marilyn Manson,B00015TWI0,"Audio CD,MP3 Music,Vinyl",996,4.8,Holy Wood Censored Artwork,,progressive metal
Opeth,B000AADYYO,"Audio CD,MP3 Music,Vinyl",957,4.8,Ghost Reveries,2005,progressive metal
Killer Be Killed,B08QBPTB2N,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",941,4.8,Reluctant Hero,2021,progressive metal
Nightwish,B000WGX8OM,"Audio CD,MP3 Music,Vinyl",946,4.8,Century Child,2002,progressive metal
Alice In Chains,B00015TV3G,"Audio CD,MP3 Music,Audio CD",934,4.8,Alice in Chains Greatest Hits,,progressive metal
Death,B000003BX3,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",930,4.8,Individual Thought Patterns,,progressive metal
Queensrÿche,B00009L1UP,"Audio CD,MP3 Music,Audio DVD,Audio, Cassette",909,4.8,Empire,2003,progressive metal
Volbeat,B08L3XC9T3,"Audio CD,MP3 Music,Vinyl",894,4.8,"Rewind,Replay,Rebound: Live in Deutschland",2020,progressive metal
Death,B000000H66,"Audio CD,MP3 Music,Vinyl",886,4.8,Symbolic,1995,progressive metal
Lamb of God,B07SFK7V4M,"Audio CD,MP3 Music,Vinyl",880,4.8,VII:Sturm und Drang,2015,progressive metal
Scar Symmetry,B00190KZBO,"Audio CD,MP3 Music",125,4.9,Holographic Universe,2008,progressive metal
ΤOOL,B000000992,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",4411,4.8,Undertow,1996,progressive metal
Rush,B000001ESH,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",835,4.8,All The World's A Stage,1997,progressive metal
King Diamond,B000000H3M,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",123,4.9,Dark Sides,1991,progressive metal
Gaerea,B09BY7XD8D,"Vinyl,MP3 Music,Audio CD",107,4.9,Limbo Ltd Clear & Black marbled,2021,progressive metal
Savatage,B000001C84,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",107,4.9,Dungeons Are Calling,1994,progressive metal
Landmvrks,B08MSGPTLT,"Vinyl,MP3 Music,Audio CD",104,4.9,Lost In The Waves,2021,progressive metal
ΤOOL,B00000099Y,"Audio CD,MP3 Music,Audio, Cassette",3953,4.8,Aenima,1996,progressive metal
Rush,B000001ESF,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",3721,4.8,2112,1997,progressive metal
Audioslave,B002E9HXIW,"Audio CD,MP3 Music,Vinyl",3858,4.8,Audioslave,2009,progressive metal
Alice In Chains,B000026EF7,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",3482,4.8,Facelift,1999,progressive metal
AC/DC,B000024ZVR,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",3424,4.8,Razors Edge,1998,progressive metal
Rush,B000001ESP,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",3302,4.8,Moving Pictures,1997,progressive metal
Disturbed,B00004SDNE,"Audio CD,MP3 Music,Vinyl",1580,4.8,Sickness,2000,progressive metal
Rammstein,B00000K1GH,"Audio CD,MP3 Music,Audio, Cassette",825,4.8,Live Aus Berlin,1999,progressive metal
King Diamond,B000000H8J,"Audio CD,Vinyl,Audio, Cassette",811,4.8,Abigail,1987,progressive metal
Faith No More,B000024HFL,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",798,4.8,King for a Day Fool for a Life,2015,progressive metal
Mudvayne,B00015TTOC,"Audio CD,MP3 Music",785,4.8,L.D.50,2014,progressive metal
Nightwish,B086CFT7M1,"Vinyl,Audio CD",782,4.8,Decades: Live In Buenos Aires Pink/Black Splatter,2020,progressive metal
Immortal,B00004WR8U,"Vinyl,MP3 Music,Audio CD",103,4.9,Damned in Black,2000,progressive metal
Cannibal Corpse,B09CH25B33,Vinyl,97,4.9,Butchered At Birth,2021,progressive metal
Rhapsody,B000067UO4,"Audio CD,MP3 Music,Vinyl",97,4.9,Power of the Dragonflame,2002,progressive metal
Oranssi Pazuzu,B084DGQMZW,"Audio CD,MP3 Music,Vinyl",90,4.9,Mestarin Kynsi,2020,progressive metal
Melvins,B00005AG58,"Audio CD,MP3 Music,Vinyl",89,4.9,Gluey Porch Treatments,2001,progressive metal
Grave Digger,B088N3TLL6,"Vinyl,Audio CD",80,4.9,Rheingold,2020,progressive metal
Grave Digger,B088N6739Y,"Audio CD,Vinyl",80,4.9,Rheingold,2020,progressive metal
Behemoth,B099C3FS6R,"Audio CD,MP3 Music,Vinyl",79,4.9,Sventevith Storming Near the Baltic,2021,progressive metal
Saga,B000001QIF,"Audio CD,Vinyl",72,4.9,In Transit,1989,progressive metal
System of a Down,B00005NSVU,"Audio CD,MP3 Music,Vinyl",3311,4.8,Toxicity,2001,progressive metal
Queens Of The Stone Age,B00006H674,"Audio CD,MP3 Music,Vinyl",2993,4.8,Songs for the Deaf,2002,progressive metal
Gojira,B08WQVXNXV,"Vinyl,MP3 Music,Audio CD",2888,4.8,Fortitude,2021,progressive metal
Iron Maiden,B000092IZZ,"Vinyl,Audio CD",2886,4.8,Somewhere in time 1986,,progressive metal
Megadeth,B0002EXH5O,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2729,4.8,Rust In Peace,2004,progressive metal
Alice In Chains,B000007TV1,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",2807,4.8,Jar of Flies/Sap,,progressive metal
System of a Down,B0007YH6I8,"Audio CD,MP3 Music,Vinyl",2640,4.8,Mesmorize Australian,2005,progressive metal
Testament,B08KQSFZJ2,"Vinyl,MP3 Music,Audio CD",2611,4.8,Titans of Creation,2020,progressive metal
AC/DC,B005EDFTJK,"MP3 Music,Audio CD",2552,4.8,"AC/DC: Dirty Deeds Done Dirt Cheap (Custom Inner Sleeve Contains Lyrics, Photos) [Vinyl LP] [Stereo]",1976,progressive metal
