"artist","asin","media","review_count","star_rating","title","year","genre"
"Ulver","1527262170","Audio CD","4","5","Ulver - Wolves Evolve: The Ulver Story",2020,"black metal"
"RAGNAROK","6317772150","Vinyl","2","5","Ragnarok",2019,"black metal"
"Sepultura","B000000H4K","Audio, Cassette,MP3 Music,Audio CD","37","4.7","Blood-Rooted",1997,"black metal"
"Sepultura","B000000H7S","Audio CD,MP3 Music,Vinyl,Audio, Cassette","776","4.8","Arise",1991,"black metal"
"King Diamond","B000000H8E","Audio CD,Vinyl,Audio, Cassette","107","4.7","Them",1991,"black metal"
"Scandinavian Metal Attack","B000001H32","Audio CD,MP3 Music","6","4.7","Scandinavian Metal Attack",1997,"black metal"
"Sepultura","B000002CSO","Audio CD","1","5","Refuse/Resist / Crucificados Pelo Sistema",1994,"black metal"
"Impaled Nazarene","B000004BMP","Audio CD,MP3 Music,Vinyl","26","4.6","Tol Cormpt Norz Norz Norz",1993,"black metal"
"Tyrant","B0000074MP","Audio CD","14","4.5","Mean Machine",1990,"black metal"
"Venom","B000007VWK","Audio CD,MP3 Music,Vinyl","34","4.6","Cast in Stone",1997,"black metal"
"Revenge","B000008JYZ","Audio CD,Vinyl,Audio, Cassette","22","4.2","One True Passion",1990,"black metal"
"At War","B00002060T","Audio CD,MP3 Music,Audio CD,Vinyl","7","3.8","Retaliatory Strike",1999,"black metal"
"Twilight Ophera","B0000240QH","Audio CD,MP3 Music","2","5","Shadows Embrace the Dark",2000,"black metal"
"Belphegor","B0000246JU","Audio CD","1","5","Last Supper/Blutsabbath",2005,"black metal"
"Venom","B000024B2M","Audio CD","2","5","Old, New, Borrowed...",1993,"black metal"
"Incantation","B000024D9I","Audio CD,MP3 Music,Vinyl","5","4.8","The Meeting",1994,"black metal"
"And Oceans","B000024YTQ","Audio CD","3","4.5","Dynamic Gallery",2010,"black metal"
"Impaled Nazarene","B000024ZFG","Audio CD,MP3 Music","19","4.6","Rapture",2020,"black metal"
"Dawn","B000024ZJF","Audio CD","2","5","Getting By on the Good Times",1998,"black metal"
"Ancient","B0000257OC","Audio CD","2","4.8","Det Glemde Riket",2001,"black metal"
"And Oceans","B0000258DC","Audio CD","1","5","Symmetry of I",2010,"black metal"
"Mystic Circle","B000025Q50","Audio CD","2","4","Morgenrote - Der Schrei Nach Finsternis",1996,"black metal"
"Marduk","B000025S66","Audio CD,MP3 Music","5","4.5","Glorification",2014,"black metal"
"Siebenburgen","B00004NHHY","Audio CD,MP3 Music","12","4.6","Delictum",2013,"black metal"
"Love/Hate","B00004SEO4","Audio CD","40","4.3","Let's Rumble",1993,"black metal"
"Godkiller","B00004TL1X","Audio CD","1","5","Deliverance",2007,"black metal"
"Mystic Circle","B00004WF14","Audio CD,Vinyl","2","5","Great Beast",2001,"black metal"
"Impaled Nazarene","B00004WR8S","Vinyl,MP3 Music,Audio CD","23","5","Nihil",2000,"black metal"
"Impaled Nazarene","B00004WR97","Vinyl,MP3 Music,Audio CD","23","4.5","Impaled Nazarene ‎- Suomi Finland Perkele 1994 France Osmose Productions ‎– OP 026",1994,"black metal"
"Tiamat","B00004WY3V","Vinyl,MP3 Music,Audio CD","58","4.5","A Deeper Kind Of Slumber",1997,"black metal"
"Katatonia","B00004WY7X","Audio CD,Vinyl","14","4.8","Sounds Of Decay",2013,"black metal"
"Abigor","B000050812","Audio CD,MP3 Music","3","4","In Memory",2000,"black metal"
"EVEREVE","B00005A7ZY","Audio CD","4","4.8","E-Mania",2002,"black metal"
"Arthemesia","B00005B88Y","Audio CD","2","5","Devs - Iratvs",2018,"black metal"
"Abigor","B00005BC5I","Audio CD,MP3 Music","9","4.2","Satanized",2005,"black metal"
"Zyklon","B00005HYXH","Audio CD","2","5","World of Worms",2001,"black metal"
"Secrets of the Moon","B00005K8PM","Audio CD","3","3.5","Dancing, Dreaming, Longing",2001,"black metal"
"Wykked Wytch","B00005TSTA","Audio CD,MP3 Music","3","4","Angelic Vengeance",2008,"black metal"
"Siebenburgen","B00005TZMW","Audio CD,MP3 Music","3","5","Plagued Be Thy Angel",2013,"black metal"
"Arrival","B0000659OM","Audio CD","1","4","An Abstract of Inertia",2002,"black metal"
"Lord Belial","B000066ID9","Audio CD,MP3 Music","2","4.2","Angelgrinder",2018,"black metal"
"Thyrfing","B000068QEG","Vinyl,MP3 Music,Audio CD","2","5","Vansinnesvisor",2002,"black metal"
"Shining (UK)","B00006K0I1","Audio CD,Vinyl","17","4.5","True Skies",2003,"black metal"
"Blasphemy","B00006ZYD5","Vinyl,MP3 Music","1","4","Gods of War",1993,"black metal"
"Marduk","B00008DALZ","Vinyl,Audio CD","1","5","Hearse Picture",2003,"black metal"
"Revenge","B00008ETAE","Vinyl,Audio CD,Vinyl","2","4.5","Slave",1990,"black metal"
"Sepultura","B00008O7D6","Audio CD,Audio CD,Vinyl","2","4.5","Refuse/Resist",2007,"black metal"
"Antaeus","B00026F8RC","Audio CD,MP3 Music","6","5","Byzantine Meditation",2004,"black metal"
"Revenge","B0002BHRHG","Audio CD","5","4.8","Gun World Porn",1992,"black metal"
"The Amenta","B0002H2VO4","Audio CD,MP3 Music","6","4.5","Occasus",2004,"black metal"
"Mayhem","B0002T6M88","Vinyl,Audio CD","92","4.6","Chimera",2019,"black metal"
"Craft","B0002VGS8K","Audio CD,MP3 Music","7","4.6","Terror Propaganda: Second Black Metal Attack",2004,"black metal"
"Craft","B0007N1A1S","Audio CD,MP3 Music,Vinyl","25","4.6","Total Soul Rape",2005,"black metal"
"Sunn 0)))","B00080663C","Vinyl,MP3 Music,Audio CD","20","4.5","The Grimm Robe Demos",2017,"black metal"
"Satanic Warmaster","B00094Z2XW","Audio CD","2","5","Strength and Honour",2003,"black metal"
"Noctuary","B0009EUFOS","Audio CD,MP3 Music","1","5","For Salvation...",1998,"black metal"
"Graveland","B0009F03Y4","Audio CD,MP3 Music","3","5","Memory and Destiny",2001,"black metal"
"Venom","B0009PVZEQ","Audio CD,MP3 Music","1","5","Choose Your Poison",2005,"black metal"
"Celtic Frost","B000A214S0","Audio CD,Audio CD,Vinyl","48","4.6","Cold Lake",1988,"black metal"
"Impiety","B000A291L2","Audio CD,MP3 Music","5","4.7","Kaos Kommand 696",2003,"black metal"
"Kekal","B000A790TU","Audio CD,MP3 Music","2","5","Acidity",2005,"black metal"
"Moonspell","B000AAVF7C","Audio CD","41","4.2","Darkness & Hope",2010,"black metal"
"Anorexia Nervosa","B000AOJAS4","Audio CD,MP3 Music","7","4","September EP",2010,"black metal"
"Wrath","B000AYQEC4","Audio CD","1","5","Viking",2005,"black metal"
"Antestor","B000BKP0FO","Audio CD","7","4","Forsaken",2005,"black metal"
"Hate","B000BL98Q0","Audio CD","2","5","Anaclasis A Haunting Gospel of Malice & Hatred",2010,"black metal"
"Svartsyn","B000BND56M","Audio CD,MP3 Music","2","4.5","Bloodline",2005,"black metal"
"Slechtvalk","B000CBWE60","Audio CD","1","4","Thunder of War",2005,"black metal"
"Samael","B000CR78TW","Audio CD","12","4.3","Era One + Lesson Inmagic 1",2007,"black metal"
"Belenos","B000EHSCT0","Audio CD,MP3 Music","1","5","Chants De Bataille",2006,"black metal"
"Frost Like Ashes","B000EHUUBI","Audio CD,MP3 Music","16","4.8","Tophet",2005,"black metal"
"Averse Sefira","B000EHZUSG","Audio CD","7","5","Battle's Clarion",2001,"black metal"
"Satanic Warmaster","B000ENZCLU","Audio CD,Vinyl","12","4.8","Carelian Satanist Madness",2005,"black metal"
"Fates Warning","B000F4SDTG","Audio CD","2","5","A Tribute to Judas Priest: Legends of Metal",1996,"black metal"
"Judas Priest","B000F4U9U2","Audio CD,Audio CD","4","3.6","A Tribute to Judas Priest : Legends of Metal Vol. 2",1996,"black metal"
"Antestor","B000F6NCKY","Audio CD,MP3 Music","6","4.4","Martyrium",1994,"black metal"
"Artefact","B000FI90B2","Audio CD","2","5","Magic Spellcraft French",2006,"black metal"
"Acheron","B000FJTP3O","Audio CD","1","5","Xomaly",2002,"black metal"
"Sacred Reich","B000FMPPKI","Audio CD","3","3.5","Taste The Blade : 15 Years of Metal Blade Records (2-CD set)",1997,"black metal"
"Dark Funeral","B000FNERVA","Audio CD","1","5","Dark Funeral",1994,"black metal"
"Venom","B000G6TD7Y","Audio CD,MP3 Music,Audio CD","9","4.6","Temples of Ice",1991,"black metal"
"Venom","B000G6THPC","Audio CD,MP3 Music","4","4.2","The Waste Lands",1992,"black metal"
"Enslaved","B000GTSC4Q","Vinyl,MP3 Music,Audio CD","35","4.7","Isa",2004,"black metal"
"Le Tigre","B000GW8BFI","Audio CD","1","5","11 Year Anniversry Album",2011,"black metal"
"BLACK CRICIFIXION","B000IJHDSK","Audio CD,Vinyl","1","5","Faustian Dream",2006,"black metal"
"Skyforger","B000ILDNDM","Audio CD","2","5","Kauja pie Saules",2001,"black metal"
"Ancient Future","B000JWB6SO","Audio CD,Audio CD","2","5","Svartalvheim",1994,"black metal"
"Cradle Of Filth","B000K6CBDS","Audio CD,MP3 Music,Audio CD,Vinyl","154","4.5","Thornography [Japan Import] +1 Bonus Track",2006,"black metal"
"Salacious Gods","B000KD1AXI","Audio CD,Audio CD","1","5","Sunnevot",2002,"black metal"
"Mephistopheles","B000KD1EAC","Audio CD,Audio CD,Vinyl","2","5","Death Unveiled",2003,"black metal"
"Forgotten Tomb","B000KLRPX4","Audio CD","6","4.8","Negative Megalomania",2020,"black metal"
"Unexpect","B000LF62VA","Audio CD,MP3 Music","2","5","We Invaders",2006,"black metal"
"Cruachan","B000LXSNIC","Audio CD","2","5","Morrigan's Call",2007,"black metal"
"Drottnar","B000M1MSPM","Audio CD,MP3 Music,Audio CD","3","4.6","Welterwerk",2006,"black metal"
"Judas Iscariot","B000N23MAU","Audio CD,MP3 Music,Audio CD","5","4","Thy Dying Light",1996,"black metal"
"Goatlord","B000N2YSBW","Audio CD,Audio CD","2","4.8","Goatlord",1992,"black metal"
"Lengsel","B000N7VJ46","Audio CD","3","3.2","The Kiss, the Hope",2006,"black metal"
"Mayhem","B000NL0NZI","Audio CD,MP3 Music,Audio CD","4","5","Burned Alive",2006,"black metal"
"Finntroll","B000NPCMRQ","Audio CD,MP3 Music,Vinyl","41","4.5","Ur Jordens Djup",2007,"black metal"
"Dimmu Borgir","B000O77Q3S","Audio CD,MP3 Music,Vinyl","251","4.7","In Sorte Diaboli",2011,"black metal"
"Isengard","B000OWLN1Y","Audio CD,MP3 Music,Audio CD","2","4","Crownless Majesty",2001,"black metal"
"Incantation","B000PO5EQ6","Audio CD,Vinyl","4","4.8","Tribute to the Goat",1999,"black metal"
"Perpetual","B000Q0AJ4G","Audio CD","1","5","Ad perpetuam rei memoriam",1998,"black metal"
"Aurora Borealis","B000R2GESI","Audio CD,MP3 Music","1","4","Relinquish",2006,"black metal"
"Rotting Christ","B000R9ZECI","Audio CD,Audio CD","9","4","Non Serviam + Passage to Arcturo",2005,"black metal"
"Moonspell","B000RRQR6W","Audio CD,MP3 Music,Vinyl,Audio, Cassette","2","4.5","Under the Moonspell",1994,"black metal"
"Impiety","B000S75M2Q","Audio CD,MP3 Music","6","5","Paramount Evil",2004,"black metal"
"Unholy","B000UBUUWW","Audio CD","1","5","From the Shadow",1993,"black metal"
"Gallhammer","B000UNBHPO","Audio CD,MP3 Music,Vinyl","10","4.8","Ill Innocence",2015,"black metal"
"Bathory","B000UPC0W6","Vinyl","61","4.7","Nordland I & II",2021,"black metal"
"Twilight","B000UTLUL4","MP3 Music,Audio CD","11","3.4","Twilight",2005,"black metal"
"Black Torment","B000UXA070","Audio CD","2","4.5","Satanic Holocaust",2008,"black metal"
"Smouldering in Forgotten","B000UXDK2M","Audio CD","1","4","Legions Into Black Flames",2008,"black metal"
"Moonspell","B000VCZ88Q","Audio CD,MP3 Music,Audio CD,Vinyl","1","5","Opium",1996,"black metal"
"Darkthrone","B000VEA4YM","Audio CD,Audio CD","28","4.9","F.O.a.D.",2007,"black metal"
"Einherjer","B000VRGJ02","Audio CD,MP3 Music,Audio CD","9","4.9","Blot",2003,"black metal"
"Celtic Frost","B000XHBP9A","Vinyl,MP3 Music,Audio CD","282","4.7","Monotheist",2006,"black metal"
"D.A.D.","B00111E0TE","Audio CD,Vinyl","7","4.4","Hard N' Heavy",1991,"black metal"
"Order From Chaos","B0011CXCYC","Audio CD","1","5","Dawn Bringer",1995,"black metal"
"NORTT","B0012YYRKM","Audio CD,MP3 Music","7","4.5","Galgenfrist",2019,"black metal"
"Azaghal","B0013A0EXE","Audio CD","1","5","Helvetin Phdeksan Piiria",2008,"black metal"
"Arv","B0013N2W04","Audio CD,MP3 Music","1","5","I.D",2011,"black metal"
"Nachtmystium","B0017LGP1O","Audio CD,MP3 Music,Vinyl","2","5","Worldfall Ep",2008,"black metal"
"SAXORIOR","B0017VIT4A","Audio CD,MP3 Music","2","4","Volkerschlacht",2020,"black metal"
"Bestialized","B00181HCOC","Audio CD","2","5","Annihilating the Judeo Christian Generations",2008,"black metal"
"Order From Chaos","B0018CCAAC","Audio CD","2","5","Stillbirth Machine",1992,"black metal"
