"artist","asin","media","review_count","star_rating","title","year","genre"
"Thin Lizzy","3937406891","Audio CD","100","4.9","Vagabonds Kings Warriors",2011,"british metal"
"Budgie","B000000131","Audio CD","23","4.2","Ecstasy of Fumbling",1997,"british metal"
"Motörhead","B0000005SI","Audio CD,Audio, Cassette","1","5","Jailbait",1999,"british metal"
"Motörhead","B0000005SW","Audio CD","7","4.8","Blitzkrieg on Birmingham 77",1994,"british metal"
"Motörhead","B0000005T4","Audio CD","2","5","Live - Lock Up Your Daughters",1994,"british metal"
"Venom","B0000005V5","Audio CD","2","4.5","Black Reign",1996,"british metal"
"Motörhead","B0000005VR","Audio CD,Vinyl","1","5","Stone Dead Forever",1997,"british metal"
"Deep Purple","B00000086E","Audio CD","2","5","Complete Episode Six",1994,"british metal"
"Venom","B000000H2J","Audio CD","1","5","Second Coming Live at Dynamo 1996",1997,"british metal"
"Motörhead","B000000H62","Audio CD","2","5","Best of Motorhead II",1995,"british metal"
"Queen","B000000OAJ","Audio CD,MP3 Music,Vinyl,Audio DVD,Audio, Cassette","1347","4.8","The Game",1991,"british metal"
"Queen","B000000OAN","Audio CD,MP3 Music,Vinyl,Audio DVD,Audio, Cassette","2535","4.8","A Night at the Opera",1991,"british metal"
"Queen","B000000OAP","Audio CD,MP3 Music,Vinyl,Audio, Cassette","1016","4.7","Live Killers",1991,"british metal"
"Queen","B000000OAR","Audio CD,Vinyl,Audio, Cassette","276","4.7","Live at Wembley '86",1992,"british metal"
"Queen","B000000OBP","Audio CD,MP3 Music,Vinyl,Audio, Cassette","1608","4.7","Queen - Greatest Hits",1992,"british metal"
"Queen","B000000OBY","Audio CD,Audio, Cassette","380","4.7","Classic Queen",1992,"british metal"
"Queen","B000000ODP","Audio CD,MP3 Music,Vinyl,Audio, Cassette","75","4.7","At the BBC",1995,"british metal"
"Queen","B000000OF6","Audio CD,Vinyl","3072","4.8","Queen: Greatest Hits I & II",1995,"british metal"
"Whitesnake","B000000OYO","Audio CD,MP3 Music,Vinyl,Audio, Cassette","94","4.7","Snakebite",1996,"british metal"
"Black Sabbath","B000000QFV","Audio CD,Vinyl,Audio, Cassette","274","4.7","TYR",1990,"british metal"
"Black Sabbath","B000000QHE","Audio CD,Audio, Cassette","204","4.5","Forbidden",1995,"british metal"
"UFO","B0000011NJ","Audio CD,Vinyl","20","4.6","The Wild, The Willing And The Innocent/Mechanix UK",1995,"british metal"
"UFO","B0000011OX","Audio CD","15","4.5","Making Contact / Misdemeanor",1996,"british metal"
"The Cult","B0000011QK","Audio CD,Vinyl","2","3.2","Interview Picture",1995,"british metal"
"Iron Maiden","B0000011QS","Audio CD","4","3.8","Playing With Madness",1995,"british metal"
"Venom","B000001C6J","Audio CD,Vinyl","7","4.6","New Wave Of British Heavy Metal SET",1994,"british metal"
"Diamond Head","B000001CA0","Audio CD","3","4.5","TO HEAVEN FROM HELL",1997,"british metal"
"Omen","B000001CAU","Audio CD,MP3 Music,Vinyl","83","4.8","Battle Cry",1996,"british metal"
"Omen","B000001CAW","Audio CD,MP3 Music,Vinyl","50","4.7","Warning of Danger",1996,"british metal"
"Def Leppard","B000001DVD","Audio CD,MP3 Music,Vinyl,Audio, Cassette","1948","4.8","High 'n' Dry",1992,"british metal"
