"artist","asin","media","review_count","star_rating","title","year","genre"
"VARIOUS ARTISTS","3936878277","Vinyl,MP3 Music,Audio CD","23","4.5","Swedish Death Metal Limited",2014,"death metal"
"Entombed","B00000055B","Audio CD,MP3 Music,Vinyl,Audio, Cassette","65","4.6","To Ride, Shoot Straight And Speak The Truth",1997,"death metal"
"VARIOUS ARTIST","B000000F8E","Audio CD","26","4.5","Virus 100: Alternative Tentacles: Dead Kennedy Covers",1992,"death metal"
"Benedection","B000000GZD","Audio CD,MP3 Music","14","4.9","The Grand Leveller",1992,"death metal"
"Dismember","B000000GZF","Audio CD,Vinyl","188","4.7","Like an Ever Flowing Stream",1992,"death metal"
"Dismember","B000000GZJ","Audio CD","14","4.8","Pieces",1992,"death metal"
"Defecation","B000000GZV","Audio CD,Audio, Cassette","12","4.8","Purity Delusion",1992,"death metal"
"Hypocrisy","B000000GZX","Audio CD,MP3 Music,Audio CD,Vinyl","38","4.8","Penetralia",1992,"death metal"
"MacAbre","B000000H03","Audio CD,MP3 Music,Audio, Cassette","23","4.7","Sinister Slaughter",1993,"death metal"
"Dismember","B000000H0H","Audio CD,MP3 Music","16","4.6","Indecent & Obsence",1993,"death metal"
"Pungent Stench","B000000H0N","Audio CD,MP3 Music,Vinyl","23","4.7","Club Mondo Bizarre",1994,"death metal"
"Dismember","B000000H0Y","Audio CD,MP3 Music,Audio, Cassette","22","4.7","Massive Killing Capacity",1995,"death metal"
"Therion","B000000H12","Audio CD,MP3 Music","18","4.6","Lepaca Kliffoth",1995,"death metal"
"Dissection","B000000H13","Audio CD,MP3 Music","117","4.7","Storm of the Light's Bane",1996,"death metal"
"Hypocrisy","B000000H17","Audio CD,MP3 Music,Audio, Cassette","74","4.7","Abducted",1996,"death metal"
"Gorefest","B000000H1B","Audio CD,Vinyl","14","4.8","Soul Survivor",1996,"death metal"
"Dissection","B000000H1I","Audio CD,MP3 Music","41","4.5","Where Dead Angels Lie",1997,"death metal"
"In Flames","B000000H1K","Audio CD,MP3 Music,Vinyl","142","4.7","Jester Race",1997,"death metal"
"Dimmu Borgir","B000000H2F","Audio CD,MP3 Music,Vinyl","166","4.6","For All Tid",2012,"death metal"
"Hypocrisy","B000000H2H","Audio CD,MP3 Music","31","4.7","Final Chapter",1997,"death metal"
"In Flames","B000000H2I","Audio CD,MP3 Music","211","4.6","Whoracle",1997,"death metal"
"Meshuggah","B000000H2N","Audio CD,Vinyl","137","4.8","Destroy Erase Improve",1995,"death metal"
"Kataklysm","B000000H2P","Audio CD","14","4.8","Sorcery",1995,"death metal"
"Hypocrisy","B000000H2X","Audio CD,MP3 Music","47","4.7","Fourth Dimension",1994,"death metal"
"Sepultura","B000000H3W","Audio CD,MP3 Music,Vinyl,Audio, Cassette","776","4.8","Arise",1997,"death metal"
"Sepultura","B000000H3X","Audio CD,MP3 Music,Vinyl,Audio, Cassette","384","4.8","Schizophrenia",1997,"death metal"
"Sepultura","B000000H3Y","Audio CD,MP3 Music","311","4.7","Morbid Visions/Bestial Devastation",1997,"death metal"
"Sepultura","B000000H3Z","Audio CD,MP3 Music,Vinyl","1169","4.9","Beneath the Remains",1997,"death metal"
"Obituary","B000000H40","Audio CD,MP3 Music,Vinyl,Audio, Cassette","567","4.8","Cause of Death",1998,"death metal"
"Obituary","B000000H41","Audio CD,Vinyl","333","4.8","Slowly We Rot",1998,"death metal"
"Deicide","B000000H4F","Audio CD,MP3 Music,Vinyl","69","4.7","Serpents of the Light",1997,"death metal"
"Sepultura","B000000H5K","Audio CD,MP3 Music,Vinyl,Audio, Cassette","677","4.7","Roots",1996,"death metal"
"Brujeria","B000000H5P","Audio CD,MP3 Music,Vinyl","78","4.7","Raza Odiada",1995,"death metal"
"Suffocation","B000000H5Y","Audio CD,MP3 Music,Vinyl","141","4.8","Pierced from Within",1995,"death metal"
"Deicide","B000000H60","Audio CD,MP3 Music,Vinyl","134","4.8","Once Upon the Cross",1995,"death metal"
"Fear Factory","B000000H64","Audio CD,MP3 Music,Audio, Cassette","366","4.8","Demanufacture",1995,"death metal"
"Death","B000000H66","Audio CD,MP3 Music,Vinyl","886","4.8","Symbolic",1995,"death metal"
"Brujeria","B000000H6R","Audio CD,MP3 Music,Vinyl","73","4.6","Mantando Gueros",2001,"death metal"
"Fear Factory","B000000H6W","Audio CD","27","4.6","Fear Is the Mindkiller",1993,"death metal"
"Deicide","B000000H7D","Audio CD,MP3 Music,Vinyl","284","4.7","Legion",2000,"death metal"
"Exhorder","B000000H7H","Audio CD,MP3 Music,Vinyl","27","4.7","Law",1992,"death metal"
"Suffocation","B000000H7I","Audio CD,MP3 Music","277","4.7","Effigy of the Forgotten",1992,"death metal"
"Malevolent Creation","B000000H81","Audio CD,MP3 Music,Vinyl","63","4.7","Ten Commandments",1991,"death metal"
"Exhorder","B000000H82","Audio CD,MP3 Music,Audio CD,Vinyl","99","4.8","Slaughter in the Vatican",1991,"death metal"
"Hatebreed","B000000IH1","Audio CD,MP3 Music,Vinyl","187","4.6","Satisfaction Is the Death of Desire",1997,"death metal"
"Saint Vitus","B000000M6F","Audio CD,MP3 Music,Vinyl","15","4.9","Heavier Than Thou",1991,"death metal"
"Black Sabbath","B000000QHE","Audio CD,Audio, Cassette","204","4.5","Forbidden",1995,"death metal"
"Repulsion","B00000111L","Audio CD,Vinyl","14","4.7","Horrified",1992,"death metal"
"Incantation","B00000111Y","Audio CD,MP3 Music,Audio, Cassette","56","4.7","Mortal Throne Of Nazerene",2005,"death metal"
"Mortician","B00000112J","Audio CD,MP3 Music","22","4.5","House by the Cemetery",1996,"death metal"
"Brutal Truth","B00000112V","Audio CD,Audio, Cassette","13","4.9","Kill Trend Suicide",1996,"death metal"
"Mortician","B00000112Y","Audio CD,Vinyl","58","4.5","Hacked Up for Barbecue",1997,"death metal"
"Brutal Truth","B000001138","Audio CD,Vinyl","17","4.7","Sounds of the Animal Kingdom",1997,"death metal"
"Incantation","B00000113C","Audio CD,MP3 Music","23","4.8","The Forsaken Mourning Of Angelic Anguish",2009,"death metal"
"Cannibal Corpse","B000001C5S","Audio CD,MP3 Music,Vinyl","506","4.7","TOMB OF THE MUTILATED UNCENSORED",1992,"death metal"
"Paradise Lost","B000001C62","Audio CD","10","4.8","As I Die",1993,"death metal"
"Cannibal Corpse","B000001C66","Audio CD,MP3 Music,Vinyl","62","4.6","Hammer Smashed Face",1993,"death metal"
"Broken Hope","B000001C6A","Audio CD,MP3 Music,Vinyl","15","4.7","BOWELS OF REPUGNANCE",1993,"death metal"
"Trouble","B000001C7B","Audio CD,MP3 Music,Vinyl,Audio, Cassette","76","4.7","Run to the Light",1994,"death metal"
"Candlemass","B000001C7O","Audio CD,MP3 Music,Vinyl,Audio, Cassette","39","4.6","Candlemass: Live",1994,"death metal"
"Six Feet Under","B000001C8M","Audio CD,MP3 Music,Vinyl,Audio, Cassette","205","4.8","Haunted",1995,"death metal"
"Immolation","B000001C8V","Audio CD,MP3 Music,Vinyl","101","4.7","Here In After",1996,"death metal"
"Crisis","B000001C94","Audio CD,MP3 Music","14","4.7","Deathshead Extermination",1996,"death metal"
"Six Feet Under","B000001C9G","Audio CD,MP3 Music","20","4.7","Alive And Dead",1996,"death metal"
"Six Feet Under","B000001C9T","Audio CD,MP3 Music,Vinyl","171","4.8","Warpath",1997,"death metal"
"God Dethroned","B000001CAC","Audio CD,MP3 Music","30","4.9","The Grand Grimoire",1998,"death metal"
"Cannibal Corpse","B000001CAL","Audio CD,MP3 Music,Vinyl,Audio, Cassette","233","4.8","Vile",1996,"death metal"
"Edge of Sanity","B000001H1U","Audio CD,MP3 Music,Vinyl","48","4.9","Purgatory Afterglow",1995,"death metal"
"Edge of Sanity","B000001H20","Audio CD,MP3 Music","57","4.4","Crimson",1996,"death metal"
"Edge of Sanity","B000001H2W","Audio CD,MP3 Music","17","4.6","Infernal",1997,"death metal"
"Bathory","B000001H3C","Audio CD,MP3 Music,Vinyl,Audio, Cassette","87","4.7","Blood on Ice",1996,"death metal"
"Bathory","B000001H3G","Audio CD,MP3 Music,Vinyl,Audio, Cassette","181","4.7","Hammerheart",1995,"death metal"
"Bathory","B000001H3Q","Audio CD,Vinyl,Audio, Cassette","34","4.5","Octagon",1995,"death metal"
"Sleep","B000001ULP","Audio CD,Vinyl","70","4.7","Sleep Vol 1",1993,"death metal"
"Therion","B0000021IH","Audio CD,MP3 Music,Vinyl,Audio, Cassette","29","4.6","Symphony Masses: Ho Drakon Ho Megas",1994,"death metal"
"Demilich","B0000021IO","Audio Cassette,Audio CD,Vinyl","56","4.7","Nespithe",1997,"death metal"
"Solitude Aeturnus","B0000021IZ","Audio CD,MP3 Music,Vinyl,Audio, Cassette","36","4.4","Through the Darkest Hour",2001,"death metal"
"Down","B000002HJS","Audio, Cassette,MP3 Music,Audio CD,Vinyl","1087","4.8","Nola",1995,"death metal"
"Led Zeppelin","B000002J01","Audio CD,MP3 Music,Vinyl,Audio, Cassette","6028","4.8","Led Zeppelin 1",1994,"death metal"
"Trouble","B000002L01","Audio CD,MP3 Music,Audio, Cassette","247","4.8","Trouble",1989,"death metal"
"Morbid Angel","B000002L1F","Audio CD,MP3 Music,Vinyl","389","4.7","Covenant",1993,"death metal"
"Morbid Angel","B000002L3G","Audio CD,Audio CD","306","4.6","Domination",1995,"death metal"
"Trouble","B000002LSM","Audio CD,MP3 Music,Vinyl,Audio, Cassette","199","4.7","Manic Frustration",1992,"death metal"
"Cancer","B000003BIH","Audio CD,MP3 Music,Vinyl,Audio, Cassette","139","4.8","Death Shall Rise",1993,"death metal"
"Napalm Death","B000003BVY","Audio CD,MP3 Music,Audio, Cassette","39","4.7","Death By Manipulation",1991,"death metal"
"Death","B000003BWE","Audio CD","25","4.6","Fate - Best of",1992,"death metal"
"Death","B000003C4X","Audio CD,MP3 Music,Vinyl,Audio, Cassette","1054","4.9","Scream Bloody Gore",1991,"death metal"
"My Dying Bride","B000003H2W","Audio CD,MP3 Music,Vinyl","100","4.7","Angel & The Dark River",1996,"death metal"
"John Zorn","B000003YUK","Audio CD","48","4.7","Black Box Torture Garden / Leng Tch'e",1997,"death metal"
"Bathory","B0000048CP","Audio CD,MP3 Music,Vinyl,Audio, Cassette","331","4.5","Blood Fire Death",1994,"death metal"
"Venom","B0000048CQ","Audio CD,MP3 Music,Vinyl,Audio, Cassette","100","4.8","Prime Evil",1994,"death metal"
"Godflesh","B00000582Q","Audio CD,MP3 Music,Vinyl","23","4.7","Godflesh",1995,"death metal"
"Napalm Death","B00000584G","Audio CD,Audio, Cassette","32","4.8","Diatribes",1996,"death metal"
"At The Gates","B00000584I","Audio CD,MP3 Music,Vinyl","429","4.8","Slaughter of the Soul",1995,"death metal"
"Godflesh","B00000584W","Audio, Cassette,Audio CD,Vinyl","53","4.5","Songs of Love & Hate",1996,"death metal"
"Carcass","B00000584Y","Audio, Cassette,MP3 Music,Audio CD","191","4.6","Swansong",1996,"death metal"
"Morbid Angel","B000005855","Audio CD","35","4.7","Entangled in Chaos",2008,"death metal"
"Anal Cunt","B000005857","Audio CD","44","4.5","I Like It When You Die",1997,"death metal"
"Napalm Death","B000005858","Audio CD,MP3 Music,Audio, Cassette","31","4.5","Inside the Torn Apart",1997,"death metal"
"Kreator","B000005DSM","Audio CD,MP3 Music,Vinyl","338","4.7","Endless Pain",2010,"death metal"
"Unleashed","B000005HL2","Audio CD,MP3 Music,Audio, Cassette","13","4.8","Where No Life Dwells / And The Laughter Has Died...",2012,"death metal"
"Grave","B000005HL4","Audio CD","28","4.9","Into The Grave/Tremendous Pain",1991,"death metal"
"Grave","B000005HLA","Audio CD,MP3 Music","12","4.9","You'll Never See/And Here I Die Satisfied",2012,"death metal"
"Samael","B000005HLC","Audio CD,MP3 Music,Vinyl","37","4.9","Blood Ritual/Worship Him",2012,"death metal"
"Samael","B000005HLS","Audio CD","26","4.8","Ceremony of Opposites + Rebellion EP",1994,"death metal"
"Mayhem","B000005HLV","Audio CD,MP3 Music,Vinyl","523","4.8","De Mysteriis Dom Sathanas",2012,"death metal"
"Grave","B000005HLX","Audio CD,MP3 Music","38","4.5","Soulless",2009,"death metal"
"Tiamat","B000005HM2","Audio CD,MP3 Music,Vinyl,Audio, Cassette","188","4.7","Wildhoney / Gaia",1994,"death metal"
"Gathering","B000005HMC","Audio CD","94","4.5","Mandylion",1995,"death metal"
"Grave","B000005HMI","Audio CD","17","4.7","Hating Life",2012,"death metal"
"Eyehategod","B000005HMM","Audio CD,MP3 Music,Vinyl","30","4.8","Dopesick",1996,"death metal"
"Samael","B000005HMY","Audio CD,MP3 Music,Vinyl","49","4.6","Passage",1996,"death metal"
"Rotting Christ","B000005HMZ","Audio CD,MP3 Music,Vinyl","25","4.8","Triarchy Of The Lost Lovers",2012,"death metal"
"Arcturus","B000005HN4","Audio CD,MP3 Music,Vinyl","30","4.9","Aspera Hiems Symfonia",1997,"death metal"
"Sentenced","B000005HN7","Audio CD,MP3 Music,Vinyl","42","4.5","Down",2009,"death metal"
"Old Man's Child","B000005HN8","Audio CD,MP3 Music,Audio CD,Vinyl","22","4.6","Born Of The Flickering",2012,"death metal"
"Emperor","B000005HN9","Audio CD,MP3 Music,Vinyl","170","4.6","Anthems to the Welkin at Dusk",1997,"death metal"
"Alastis","B000005HNG","Audio CD,MP3 Music,Vinyl","11","4.9","Other Side",1997,"death metal"
"Ulver","B000005HNI","Audio CD,MP3 Music,Vinyl,Audio, Cassette","43","4.6","Madrigal of the Night Nattens Madrigal",2012,"death metal"
"Rotting Christ","B000005HNP","Audio CD,MP3 Music,Vinyl,Audio, Cassette","35","4.7","Dead Poem",1997,"death metal"
"The Gathering","B000005HNQ","Audio CD,MP3 Music","81","4.7","Nighttime Birds",1997,"death metal"
"Borknagar","B000005HO1","Audio CD,MP3 Music,Vinyl","44","4.8","Olden Domain",1997,"death metal"
"Rotting Christ","B000005HO2","Audio CD,MP3 Music,Vinyl","108","4.8","Thy Mighty Contract",2012,"death metal"
"Various Artists","B000005HO4","Audio CD","12","4.8","Century Black Summons...Firestarter",1998,"death metal"
"Kovenant","B000005ZDL","Audio CD","47","4.5","Nexus Polaris",1998,"death metal"
"Mortician","B00000607B","Audio CD,Audio CD","16","4.6","Zombie Apocalypse",1998,"death metal"
"Incantation","B00000607E","Audio CD,MP3 Music","54","4.8","Diabolical Conquest",2005,"death metal"
"Anal Cunt","B00000607H","Audio CD,MP3 Music,Audio CD,Vinyl","18","4.7","Morbid Florist",2005,"death metal"
"Cannibal Corpse","B0000060ZW","Audio CD,MP3 Music,Vinyl","192","4.8","Gallery Of Suicide",1998,"death metal"
"Hate Plow","B0000061YV","Audio CD,MP3 Music,Audio, Cassette","16","4.7","Everybody Dies",1998,"death metal"
"Vader","B0000061YY","Audio CD,MP3 Music","16","4.8","Black to the Blind",1998,"death metal"
"Morbid Angel","B000006AZS","Audio CD,MP3 Music,Vinyl,Audio, Cassette","175","4.8","Formulas Fatal to the Flesh",1998,"death metal"
"Ripping Corpse","B000006J9H","Audio CD,MP3 Music","76","4.7","Dreaming with the Dead",2007,"death metal"
"Venom","B000006N16","Audio CD,MP3 Music,Vinyl","34","4.6","Cast in Stone",1998,"death metal"
"Benedection","B000006NKX","Audio CD,MP3 Music,Vinyl","63","4.7","Grind Bastard",1998,"death metal"
"Therion","B000006NL1","Audio CD,MP3 Music,Vinyl","78","4.6","Vovin",1998,"death metal"
"Nasum","B000006NQV","Audio CD,MP3 Music,Vinyl","52","4.7","Inhale/Exhale",2005,"death metal"
"Enthroned","B000006NWL","Audio CD,MP3 Music,Vinyl","15","4.6","Towards Skullthrone of Satan",1998,"death metal"
"Bathory","B000006SRS","Audio CD,MP3 Music,Vinyl,Audio, Cassette","214","4.8","Bathory",1994,"death metal"
"Black Sabbath","B000006SZ2","Audio CD","28","4.5","The Sabbath Stones: The IRS Years",2007,"death metal"
"Cradle Of Filth","B000006XU2","Audio CD,MP3 Music,Vinyl","153","4.7","Principle Of Evil Made Flesh",2015,"death metal"
"Absu","B000006Z0M","Audio CD,MP3 Music","38","4.7","The Sun Of Tiphareth",2013,"death metal"
"Bathory","B000006Z9L","Audio CD,MP3 Music,Vinyl,Audio, Cassette","25","4.6","Jubileum, Vol. 1",1994,"death metal"
"Bathory","B000006Z9M","Audio CD,MP3 Music","15","4.7","Jubileum, Vol. 2",1994,"death metal"
"Bathory","B000006Z9O","Audio CD,MP3 Music,Vinyl,Audio, Cassette","52","4.4","Requiem",2015,"death metal"
"Immortal","B000007019","Audio CD,MP3 Music,Vinyl","112","4.7","Diabolical Fullmoon Mysticism",2007,"death metal"
"Morbid Angel","B0000072BE","Audio CD,MP3 Music,Vinyl","56","4.6","Abominations",2008,"death metal"
"Sodom","B0000073Y6","Audio CD,MP3 Music,Audio, Cassette","169","4.7","Persecution Mania",1998,"death metal"
"Discharge","B000007O6Z","Audio CD,MP3 Music,Vinyl","24","4.9","Never Again",1998,"death metal"
"Obituary","B000007O7O","Audio CD,MP3 Music,Vinyl","121","4.7","World Demise",1998,"death metal"
"Obituary","B000007O7P","Audio CD,MP3 Music,Vinyl,Audio, Cassette","337","4.8","End Complete",1998,"death metal"
"Deicide","B000007O7Q","Audio CD,MP3 Music,Vinyl,Audio, Cassette","200","4.7","Deicide",1998,"death metal"
"Jungle Rot","B000007OGU","Audio CD,Vinyl","9","4.9","Slaughter the Weak",1998,"death metal"
"Haunted","B000007OZM","Audio CD","32","4.5","Haunted",1998,"death metal"
"Einherjer","B000007SXL","Audio CD,MP3 Music","14","4.7","Odin Owns Ye All",2009,"death metal"
"Old Man's Child","B000007SXM","Audio CD,MP3 Music,Vinyl","32","4.6","Ill-Natured Spiritual Invasion",2012,"death metal"
"Napalm Death","B000007T6C","Audio CD,MP3 Music","18","4.6","Bootlegged in Japan",2000,"death metal"
