"artist","asin","media","review_count","star_rating","title","year","genre"
"Motörhead","B0000005SW","Audio CD","7","4.8","Blitzkrieg on Birmingham 77",1994,"thrash metal"
"Nuclear Assault","B0000005VW","Audio CD","6","4.5","Assault & Battery",1997,"thrash metal"
"Jerry's Kids","B000000EQL","Vinyl,MP3 Music,Audio CD","17","4.6","Kill Kill Kill",2019,"thrash metal"
"Sloppy Seconds","B000000ET5","Vinyl,MP3 Music,Audio CD,Audio, Cassette","15","5","Knock Yer Block Off",2018,"thrash metal"
"Benedection","B000000GZD","Audio CD,MP3 Music","14","4.9","The Grand Leveller",1992,"thrash metal"
"Benedection","B000000GZH","Audio CD,MP3 Music","6","4.7","Dark Is The Season",1992,"thrash metal"
"MacAbre","B000000H03","Audio CD,MP3 Music,Audio, Cassette","23","4.7","Sinister Slaughter",1993,"thrash metal"
"Meshuggah/Dismember/Therion","B000000H2G","Audio CD","7","4.5","Voyager: Nuclear Blast 10 Year Anniversary",1998,"thrash metal"
"Sepultura","B000000H3K","Audio CD,Audio, Cassette","5","4.7","Dead Embryonic Cells",1991,"thrash metal"
"King Diamond","B000000H3M","Audio CD,MP3 Music,Vinyl,Audio, Cassette","123","4.9","Dark Sides",1991,"thrash metal"
"Sepultura","B000000H3W","Audio CD,MP3 Music,Vinyl,Audio, Cassette","776","4.8","Arise",1997,"thrash metal"
"Sepultura","B000000H3X","Audio CD,MP3 Music,Vinyl,Audio, Cassette","384","4.8","Schizophrenia",1997,"thrash metal"
"Sepultura","B000000H3Y","Audio CD,MP3 Music","311","4.7","Morbid Visions/Bestial Devastation",1997,"thrash metal"
"Sepultura","B000000H3Z","Audio CD,MP3 Music,Vinyl","1169","4.9","Beneath the Remains",1997,"thrash metal"
"Mercyful Fate","B000000H42","Audio CD,MP3 Music,Vinyl","678","4.8","Don't Break the Oath",1997,"thrash metal"
"Mercyful Fate","B000000H43","Audio CD,MP3 Music,Vinyl,Audio, Cassette","512","4.9","Melissa",1997,"thrash metal"
"King Diamond","B000000H45","Audio CD,MP3 Music,Vinyl","112","4.8","Live in Concert 1987",1997,"thrash metal"
"King Diamond","B000000H48","Audio CD,MP3 Music,Vinyl,Audio, Cassette","379","4.9","Conspiracy",1997,"thrash metal"
"King Diamond","B000000H4A","Audio CD,MP3 Music,Vinyl,Audio, Cassette","185","4.8","Fatal Portrait",1997,"thrash metal"
"Fear Factory","B000000H4S","Audio CD,Audio, Cassette","71","4.4","Remanufacture",1997,"thrash metal"
"Sepultura","B000000H5K","Audio CD,MP3 Music,Vinyl,Audio, Cassette","677","4.7","Roots",1996,"thrash metal"
"Fear Factory","B000000H64","Audio CD,MP3 Music,Audio, Cassette","366","4.8","Demanufacture",1995,"thrash metal"
"Death","B000000H66","Audio CD,MP3 Music,Vinyl","886","4.8","Symbolic",1995,"thrash metal"
"Fear Factory","B000000H6W","Audio CD","27","4.6","Fear Is the Mindkiller",1993,"thrash metal"
"King Diamond","B000000H77","Audio CD,Audio, Cassette","18","4.8","Dangerous Meeting",1992,"thrash metal"
"Mercyful Fate","B000000H7C","Audio CD,MP3 Music,Vinyl,Audio, Cassette","163","4.7","Return of the Vampire",1992,"thrash metal"
"Exhorder","B000000H7H","Audio CD,MP3 Music,Vinyl","27","4.7","Law",1992,"thrash metal"
"King Diamond","B000000H7L","Audio CD","6","5","Live in Concert 1987",1991,"thrash metal"
"King Diamond","B000000H8E","Audio CD,Vinyl,Audio, Cassette","107","4.7","Them",1991,"thrash metal"
"Mercyful Fate","B000000H8I","Audio CD,MP3 Music,Vinyl,Audio, Cassette","206","4.8","Beginning",1990,"thrash metal"
"King Diamond","B000000H8J","Audio CD,Vinyl,Audio, Cassette","811","4.8","Abigail",1987,"thrash metal"
"Corrosion Of Conformity","B000000HR5","Audio CD,MP3 Music,Vinyl,Audio, Cassette","73","4.6","Eye For An Eye Plus Six Songs With Mike Singing",1990,"thrash metal"
