artist,asin,media,review_count,star_rating,title,year
Motörhead,B000A14OI8,"Audio CD,MP3 Music",136,4.9,BBC Live & in Session,2008
Inquisition,B08KMFYQMV,"Audio CD,MP3 Music,Vinyl",134,4.9,Black Mass for a Mass Grave,2020
King Buffalo,B09JVM31QY,"Vinyl,MP3 Music,Audio CD",130,4.9,Dead Star,2022
Helloween,B09RKMZDKR,"Vinyl,MP3 Music",126,4.9,Helloween Blue/White Marbled,2022
Scar Symmetry,B00190KZBO,"Audio CD,MP3 Music",125,4.9,Holographic Universe,2008
Blind Guardian,B07FGQRF93,"Audio CD,Vinyl",124,4.9,Somewhere Far Beyond remixed 2012 / Remastered 2018,2018
Graveyard,B007VMSF6G,"Vinyl,MP3 Music,Audio CD",123,4.9,Graveyard,2012
Unleash the Archers,B06XYTMFBL,"Vinyl,MP3 Music,Audio CD",124,4.9,Apex,2017
King Diamond,B08FS37YN6,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",123,4.9,The Dark Sides,2020
Five Finger Death Punch,B07W5CHDP4,Vinyl,122,4.9,Wrong Side Of Heaven V1,2019
Queens Of The Stone Age,B081DBRL7D,"Vinyl,MP3 Music,Audio CD",121,4.9,Songs For The Deaf - Exclusive Red & Black Marble Colored,2019
The Devil Wears Prada,B003TTZSWO,"Audio CD,MP3 Music",120,4.9,Zombie EP,2010
Audioslave,B00376AWFM,"Vinyl,Audio CD",119,4.9,Audioslave Ogv,2011
Within Temptation,B0B6L5DS8V,"Audio CD,MP3 Music,Vinyl",117,4.9,The Heart Of Everything Numbered Slipcase Edition w/ 3 Bonus Tracks,2022
Steve Vai,B002LBGB4A,"Audio CD,MP3 Music,Vinyl",117,4.9,Where The Wild Things Are,2009
Erra,B00IKM5N98,"Vinyl,MP3 Music,Audio CD",117,4.9,Augment,2014
Knocked Loose,B09RDZV4KQ,"Vinyl,MP3 Music,Audio CD",164,4.9,Knocked Loose – A Tear In The Fabric Of Life EP Red w/ Silver & Black Twist,2021
Theocracy,B005STGJTY,"Audio CD,MP3 Music,Vinyl",289,4.9,As the World Bleeds,2011
Flotsam & Jetsam,B01CE00Q8O,"Audio CD,MP3 Music,Vinyl",160,4.9,Flotsam And Jetsam,2016
Fates Warning,B07C5HNBNT,"Vinyl,MP3 Music,Audio CD",154,4.9,Live Over Europe,2018
Lorna Shore,B096TN98RV,"Vinyl,MP3 Music,Audio CD",153,4.9,...And I Return To Nothingness - EP,2021
Meshuggah,B00MFQTZ9Y,"Audio CD,Vinyl",150,4.9,I Remastered,2014
LIK,B08CWD67X4,"Vinyl,MP3 Music,Audio CD",149,4.9,Misanthropic Breed,2020
Lynyrd Skynyrd,B000B8I8I2,"Audio CD,Vinyl,Audio, Cassette",146,4.9,Gimme Back My Bullets,2006
The Exploited,B00005QTNK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",146,4.9,Punks Not Dead,2001
Archspire,B073VGQDMW,"Audio CD,MP3 Music,Vinyl",280,4.9,Relentless Mutation,2017
Devin Townsend,B08GV8VLZP,"Audio CD,MP3 Music,Vinyl",276,4.9,Order Of Magnitude: Empath Live Volume 1,2020
Death,B09FT5WDD2,"Audio, Cassette,MP3 Music,Audio CD,Vinyl",261,4.9,The Sound Of Perseverance,2021
Black Label Society,B09BBX3L8L,"Audio CD,Vinyl",254,4.9,1919 Eternal,2021
Adolescents,B000001IMR,"Audio CD,MP3 Music,Vinyl",250,4.9,Adolescents,1997
The Story So Far,B07FDNT6JH,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",249,4.9,Proper Dose,2018
Avantasia,B00111WSNO,"Audio CD,Vinyl",244,4.9,Metal Opera Part I & Ii gold Edition,2011
Halestorm,B0B3HPJ8QR,"Vinyl,MP3 Music",236,4.9,"Halestorm - Back From The Dead (Clear Red Vinyl, Indie Exclusive, Explicit Content)",
Thy Art Is Murder,B07RY4B5C5,"Audio CD,Vinyl",142,4.9,Human Target,2019
Cult of Luna,B01BNLIQUU,"Audio CD,MP3 Music,Vinyl",143,4.9,Mariner,2016
Vanilla Ninja,B096LMTGYH,"Audio CD,MP3 Music,Vinyl",141,4.9,Encore,2021
Every Time I Die,B09CVJL3VQ,"Audio CD,Vinyl",230,4.9,Radical,2021
Trees Of Eternity,B01M018USX,"Audio CD,MP3 Music,Vinyl",227,4.9,Hour Of The Nightingale,2016
O'Reillys & The Paddyhats,B084Z4FZP2,"Audio CD,MP3 Music,Vinyl",224,4.9,Dogs On The Leash,2020
The Devil Wears Prada,B098GSYZC5,"Vinyl,MP3 Music,Audio CD",140,4.9,ZII,2022
Smash Into Pieces,B01MTJ3U81,"Audio CD,MP3 Music,Vinyl",138,4.9,Rise and Shine,2017
Ne Obliviscaris,B07PL9PYFZ,"Vinyl,MP3 Music,Audio CD",139,4.9,Citadel Ltd Ed.,2019
Swans,B000060OHW,"Audio CD,MP3 Music,Vinyl",137,4.9,The Great Annihilator,2002
Pantera,B08HRXQZFV,"Vinyl,MP3 Music,Audio CD",135,4.9,Reinventing The Steel Limited Silver Tracks,2021
Slo Burn,B000006M18,"Audio CD,MP3 Music,Vinyl",56,5,Amusing the Amazing,1997
Turbonegro,B000087DRK,"Audio CD,MP3 Music,Vinyl",222,4.9,Apocalypse Dudes,2003
Times of Grace,B0046BTZYQ,"Audio CD,MP3 Music",215,4.9,Hymn of a Broken Man,2011
Metallica,B0757G4WTT,"Vinyl,MP3 Music",213,4.9,Master Of Puppets Remastered Deluxe,2017
Mono Inc,B08HGRWC1K,"Vinyl,MP3 Music,Audio CD",90,5,Voices Of Doom Blue / Violet Transparent,2021
Terror,B003XQE0JU,"Audio CD,MP3 Music,Vinyl",90,5,Keepers Of The Faith DIGI,2012
Pink Floyd,B000091K1L,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",6906,4.9,Wish You Were Here,1975
Nirvana,B000003TB9,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4186,4.9,MTV Unplugged in New York,1994
Def Leppard,B000001FKY,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",4009,4.9,Hysteria,1987
Rammstein,B073G3ZLDJ,"Vinyl,MP3 Music,Audio CD",2883,4.9,Mutter,2017
System of a Down,B07FSVYRXJ,"Vinyl,Audio CD",2051,4.9,Toxicity,2018
Nirvana,B000WQW988,"DVD,HD DVD",1971,4.9,Nirvana: MTV Unplugged in New York,", et al."
Lynyrd Skynyrd,B000002P74,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1651,4.9,Second Helping,1997
Ice Nine Kills,B07H5VVLTY,"Vinyl,MP3 Music,Audio CD",1579,4.9,The Silver Scream Translucent Bloodshot,2018
Linkin Park,B00G2I2HNW,"Audio CD,MP3 Music,Vinyl",1521,4.9,Linkin Park - Hybrid Theory Brand New,2001
George Strait,B00ZYBI84U,DVD,1400,4.9,George Strait/The Cowboy Rides Away: Live from AT&T Stadium,
Rush,B000001ESN,"Audio CD,MP3 Music,Vinyl",1393,4.9,Permanent Waves,1997
Sabaton,B01GUBRPB4,"Audio CD,Audio DVD",1255,4.9,The Last Stand,2016
System of a Down,B004YESKU0,Audio CD,1220,4.9,System of a Down,2011
Iron Maiden,B00MGAE15C,"Vinyl,Audio CD",1197,4.9,Live After Death,2014
White Zombie,B000000OSQ,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1193,4.9,La Sexorcisto-Devil Music Vol. 1,1992
Sepultura,B084DGFLB8,"Vinyl,MP3 Music,Audio CD",1169,4.9,Beneath the Remains,2020
Spite,B071W94LQQ,"Audio CD,MP3 Music",71,5,Nothing Is Beautiful,2017
Death,B00IQFC15I,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1087,4.9,Leprosy,2014
Death,B01DD5N2KS,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",1054,4.9,Scream Bloody Gore,2016
Death,B01DD5N2TE,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",1054,4.9,Scream Bloody Gore,2016
Death,B009INAGY0,"Audio CD,MP3 Music,Vinyl",1035,4.9,Spiritual Healing,2012
Death,B004XD03RK,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",969,4.9,Human,2011
Pup,B00PU3AEOY,"Audio CD,Vinyl",210,4.9,Dream Is Over,2016
Slayer,B000062YB3,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",924,4.9,South Of Heaven,2002
Coheed and Cambria,B00JRBGIIG,"Audio CD,Paperback",893,4.9,In Keeping Secrets Of Silent Earth: 3,2014
Allman Brothers Band,B0000ADY9I,"Audio CD,MP3 Music,Vinyl",862,4.9,At Fillmore East,2003
Stryper,B00FJ6F8IO,"Vinyl,MP3 Music,Audio CD",847,4.9,No More Hell to Pay,2013
MGLA,B015TKW0K8,"Audio CD,MP3 Music,Vinyl",208,4.9,Exercises In Futility,2015
Incubus,B000002BUY,Audio CD,204,4.9,Science,1997
Kärbholz,B01N9FYV2R,"Audio CD,MP3 Music,Vinyl",203,4.9,Uberdosis Leben,2019
I Prevail,B08HSB4M5D,"Audio CD,MP3 Music,Vinyl",195,4.9,POST TRAUMATIC,2020
Karnivool,B00080SE96,"Audio CD,MP3 Music,Vinyl",191,4.9,Themata,2005
Epica,B09H3C28Q8,"Audio CD,Vinyl",190,4.9,Omega Alive,2021
Black Sabbath,B018VEE4QW,"Audio CD,Vinyl",185,4.9,Paranoid,2016
Meshuggah,B07MGJ6YHY,Vinyl,53,5,Catch Thirtythree,2019
Unleash the Archers,B089M6J5PD,"Audio CD,Vinyl",827,4.9,Abyss,2022
System of a Down,B07FT3731L,"Vinyl,Audio CD",777,4.9,Hypnotize,2018
Slaughter to Prevail,B0B1F7KWBT,"Vinyl,MP3 Music",764,4.9,Kostolom,2022
Wardruna,B07G24NZDW,"Vinyl,MP3 Music,Audio CD",711,4.9,Runaljod Ragnarok,2019
Ice Nine Kills,B08KHFN76X,"Audio CD,MP3 Music,Vinyl",183,4.9,I Heard They KILL Live,2020
Boehse Onkelz,B0012UO17U,"Audio CD,MP3 Music",179,4.9,Live in Dortmund,2009
Knocked Loose,B0777FH28J,"Vinyl,MP3 Music,Audio CD",178,4.9,Pop Culture,2019
Lorna Shore,B0B7QLFT24,"Vinyl,Audio CD",178,4.9,Pain Remains - Ltd. Black,2022
Bloodbath,B00197X172,"Audio CD,MP3 Music,Vinyl",175,4.9,The Fathomless Mastery,2008
Septic Flesh,B004P7VHVA,"Vinyl,MP3 Music,Audio CD",173,4.9,The Great Mass,2016
Polaris,B0B42Y9932,"Vinyl,MP3 Music,Audio CD",166,4.9,The Death Of Me - Black And Pink Swirl,2022
Type O Negative,B00001IV8L,"Audio CD,MP3 Music,Audio, Cassette",447,4.9,World Coming Down,1999
BLACK SABBATH,B08DDK4T2M,"Audio CD,Vinyl",425,4.9,Paranoid,2020
