artist,asin,media,review_count,star_rating,title,year,genre
Emperor,B08DPV71GH,Vinyl,62,4.9,In The Nightside Eclipse Half-Speed Master,2021,black metal
King Diamond,B086PRJM4D,"Vinyl,MP3 Music,Audio CD",455,4.8,Them,2022,black metal
ROTTING CHRIST,B07F9GMTQH,Audio CD,33,5,Under Our Black Cult,2018,black metal
Immortal,B07R7BN63W,"Vinyl,MP3 Music,Audio CD,Audio, Cassette",419,4.8,Northern Chaos Gods,2018,black metal
Darkthrone,B07YMFVRXP,"Vinyl,MP3 Music,Audio CD",416,4.8,Old Star Picture,2019,black metal
Dimmu Borgir,B087LB146L,"Audio CD,MP3 Music,Vinyl",412,4.8,Enthroned Darkness Triumphant SHM,2020,black metal
Cradle Of Filth,B0012ENNCK,"MP3 Music,Audio CD",410,4.8,Midian,,black metal
Sepultura,B084DG7GG4,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",384,4.8,Schizophrenia Includes 4 Bonus Tracks,2020,black metal
Cradle Of Filth,B00Y9Y07BA,"Audio CD,MP3 Music,Vinyl",372,4.8,Hammer Of Phils,2015,black metal
Darkthrone,B0050NDXUG,"Vinyl,MP3 Music,Audio CD",367,4.8,Panzerfaust,2017,black metal
King Diamond,B085XF2NTC,"Audio CD,MP3 Music,Vinyl,Audio, Cassette",359,4.8,The Eye,2020,black metal
Darkthrone,B093HZJ7P1,"Vinyl,MP3 Music,Audio CD",358,4.8,Under A Funeral Moon - Exclusive Limited Edition Silver Colored Vinyl LP (Includes Art Print),2021,black metal
Cradle Of Filth,B00MDWKLUC,"Audio Cassette,MP3 Music,Audio CD,Vinyl",352,4.8,Damnation And A Day,2002,black metal
Marduk,B09NQ4N8M6,"Audio CD,MP3 Music,Vinyl",59,4.9,Plague Angel,2022,black metal
Cradle Of Filth,B006QFU07G,"Audio CD,MP3 Music,Audio CD",346,4.8,Dusk And Her Embrace (Digibook),1996,black metal
Emperor,B09R96N5CK,"Vinyl,Audio CD",346,4.8,In The Nightside Eclipse[White/Blue Swirl LP] [Half-Speed],2022,black metal
Satyricon,B091D2T8LS,"Vinyl,Audio CD",119,4.8,The Shadowthrone 2021,2022,black metal
Carach Angren,B0BJ2BWLDL,"Vinyl,MP3 Music,Audio CD",117,4.8,Where The Corpses Sink Forever Ltd. in,2023,black metal
Belphegor,B07PBD7RFJ,"Vinyl,MP3 Music,Audio CD",117,4.8,Lucifer Incestus [VINYL],2019,black metal
Belphegor,B07HVJ2KMH,"Vinyl,MP3 Music,Audio CD",117,4.8,Lucifer Incestus,,black metal
Marduk,B09KN8YWXH,"Audio CD,MP3 Music,Vinyl",114,4.8,Rom 5:12,2022,black metal
Behemoth,B00000K494,"Audio CD,MP3 Music,Vinyl",113,4.8,Satanica,,black metal
Inquisition,B07D2Y536N,"Vinyl,MP3 Music,Audio CD",43,4.9,Into The Infernal Regions Of The Ancient Cult Ltd. Ed. gold & red marble .,2018,black metal
King Diamond,B085XF3LZY,"Audio CD,MP3 Music,Vinyl",112,4.8,In Concert 1987: Abigail,2020,black metal
Unanimated,B085KR41BF,"Audio CD,MP3 Music,Vinyl",112,4.8,Ancient God Of Evil,2020,black metal
Rotting Christ,B07MQXZHJ1,"Audio CD,MP3 Music,Vinyl",108,4.8,Thy Mighty Contract,2019,black metal
Empyrium,B08PJKDPBT,"Audio CD,MP3 Music,Vinyl",108,4.8,Uber den Sternen,2021,black metal
Ulver,B0B5F74N7F,"Audio CD,Vinyl",42,4.9,Themes From William Blake's 'The Marriage Of Heaven & Hell',2022,black metal
Agalloch,B07Y98NLJ7,"Audio CD,MP3 Music,Vinyl",42,4.9,White Ep,2019,black metal
Sunn O))),B07VBH68T3,"Vinyl,MP3 Music,Audio CD",106,4.8,Pyroclasts,2019,black metal
Rotting Christ,B00PCO5W6G,"Audio CD,MP3 Music,Audio CD,Vinyl",104,4.8,AEALO,,black metal
